dataset_id,asset_path,file_size_GB,license,error,subject_id,species,age,session_id,session_start_time,well_id,has_raw_ElectricalSeries,n_ElectricalSeries,sampling_rate_Hz,duration_s,raw_dtype,electrode_geometry_cols,electrode_pitch_raw_units,n_electrodes,has_Units,n_units
001872,sub-sample-well001/sub-sample-well001_ses-20260622T215252_ecephys.nwb,4.1198,spdx:CC-BY-4.0,,sample_well001,Homo sapiens,P71D,,2026-06-22 21:52:52.475504-04:00,well001,True,1,10000.0,600.1,uint16,"rel_x,rel_y",24.748737341529164,990,False,
001872,sub-sample-well001/sub-sample-well001_ses-20260622T195034_ecephys.nwb,4.2086,spdx:CC-BY-4.0,,sample_well001,Homo sapiens,P57D,,2026-06-22 19:50:34.060359-04:00,well001,True,1,10000.0,600.06,uint16,"rel_x,rel_y",24.748737341529164,1016,False,
001872,sub-sample-well001/sub-sample-well001_ses-20260622T233922_ecephys.nwb,4.2509,spdx:CC-BY-4.0,,sample_well001,Homo sapiens,P75D,,2026-06-22 23:39:22.048261-04:00,well001,True,1,10000.0,600.02,uint16,"rel_x,rel_y",24.748737341529164,1019,False,
001872,sub-sample-well002/sub-sample-well002_ses-20260622T175109_ecephys.nwb,4.2527,spdx:CC-BY-4.0,,sample_well002,Homo sapiens,P52D,,2026-06-22 17:51:09.512294-04:00,well002,True,1,10000.0,600.02,uint16,"rel_x,rel_y",24.748737341529164,1019,False,
001872,sub-sample-well002/sub-sample-well002_ses-20260622T195034_ecephys.nwb,4.2462,spdx:CC-BY-4.0,,sample_well002,Homo sapiens,P57D,,2026-06-22 19:50:34.060359-04:00,well002,True,1,10000.0,600.06,uint16,"rel_x,rel_y",24.748737341529164,1020,False,
001872,sub-sample-well003/sub-sample-well003_ses-20260622T175109_ecephys.nwb,0.794,spdx:CC-BY-4.0,,sample_well003,Homo sapiens,P52D,,2026-06-22 17:51:09.512294-04:00,well003,True,1,10000.0,600.02,uint16,"rel_x,rel_y",98.99494936611666,192,False,
001872,sub-sample-well003/sub-sample-well003_ses-20260622T195034_ecephys.nwb,1.1389,spdx:CC-BY-4.0,,sample_well003,Homo sapiens,P57D,,2026-06-22 19:50:34.060359-04:00,well003,True,1,10000.0,600.06,uint16,"rel_x,rel_y",55.339859052946636,271,False,
001872,sub-sample-well003/sub-sample-well003_ses-20260622T215252_ecephys.nwb,0.7855,spdx:CC-BY-4.0,,sample_well003,Homo sapiens,P71D,,2026-06-22 21:52:52.475504-04:00,well003,True,1,10000.0,600.1,uint16,"rel_x,rel_y",78.26237921249263,183,False,
001872,sub-sample-well004/sub-sample-well004_ses-20260622T175109_ecephys.nwb,0.6756,spdx:CC-BY-4.0,,sample_well004,Homo sapiens,P52D,,2026-06-22 17:51:09.512294-04:00,well004,True,1,10000.0,600.02,uint16,"rel_x,rel_y",105.0,165,False,
001872,sub-sample-well003/sub-sample-well003_ses-20260622T233922_ecephys.nwb,0.5588,spdx:CC-BY-4.0,,sample_well003,Homo sapiens,P75D,,2026-06-22 23:39:22.048261-04:00,well003,True,1,10000.0,600.02,uint16,"rel_x,rel_y",126.19429464123962,130,False,
001872,sub-sample-well002/sub-sample-well002_ses-20260622T233922_ecephys.nwb,4.2595,spdx:CC-BY-4.0,,sample_well002,Homo sapiens,P75D,,2026-06-22 23:39:22.048261-04:00,well002,True,1,10000.0,600.02,uint16,"rel_x,rel_y",24.748737341529164,1020,False,
