platform,n_recordings_total_all_species,n_recordings_total_human,n_recordings_with_raw,sampling_rate_Hz_unique,raw_dtype_unique,n_electrodes_unique,electrode_pitch_raw_units_median,electrode_geometry_cols_unique
MaxOne (001603),111,44,20,[20000.0],['uint16'],"[1014.0, 1020.0]",35.0,"['rel_x,rel_y']"
MaxTwo (001872),120,120,120,[10000.0],['uint16'],"[107, 114, 120, 130, 137, 144, 148, 149, 151, 158, 159, 162, 165, 166, 168, 169, 170, 173, 180, 183, 187, 192, 194, 196, 205, 210, 225, 251, 253, 256, 258, 259, 261, 271, 273, 276, 281, 295, 333, 337, 344, 357, 368, 369, 388, 400, 402, 452, 503, 523, 530, 540, 592, 608, 619, 644, 651, 667, 690, 697, 703, 723, 725, 731, 762, 778, 795, 808, 813, 850, 859, 870, 874, 916, 923, 951, 967, 990, 1006, 1008, 1009, 1015, 1016, 1017, 1018, 1019, 1020]",35.0,"['rel_x,rel_y']"
