,firing_rate,snr,isi_violations_ratio,isi_violations_count
1,1.0006671114076051,307.66993266290245,3.701234567901234,2
2,0.6837891927951968,307.15110134021717,3.9632493885914473,1
3,0.956193017567267,307.66993266290245,4.053542455381287,2
4,1.7400489215032244,307.66993266290245,0.612030336126734,1
5,1.3453413386702247,307.66993266290245,6.143023017553446,6
6,0.35579275072270405,307.4105270638406,0.0,0
7,4.764287302646209,307.66993266290245,4.816726552830761,59
8,0.3391149655325773,307.15110134021717,16.11394786347756,1
9,5.942850789415166,307.4105270638406,1.836429489630815,35
10,0.6615521458750279,307.66993266290245,0.0,0
11,2.4905492550589283,307.66993266290245,0.29874840561224486,1
13,3.2577273738047587,307.15110134021717,0.8730445316777131,5
14,1.261952412719591,307.66993266290245,2.327233208484542,2
18,0.6559928841449856,307.15110134021717,4.3062338408503305,1
21,2.879697576161886,307.66993266290245,4.469223774243079,20
23,0.3391149655325773,307.66993266290245,0.0,0
24,0.6782299310651546,307.66993266290245,0.0,0
25,1.6233044251723372,307.66993266290245,3.5161381122161757,5
27,0.4780965087836335,307.66993266290245,0.0,0
30,4.742050255726039,307.66993266290245,1.7305448393299145,21
33,2.512786301979097,307.15110134021717,1.4674210979716502,5
35,1.7233711363130977,307.66993266290245,4.367533818938605,7
37,2.2737380475872806,307.66993266290245,2.5090715622216506,7
38,1.2563931509895485,307.66993266290245,7.0436212702639205,6
39,10.623749166110741,307.66993266290245,2.298625846506537,140
40,4.819879919946631,307.66993266290245,0.0,0
41,6.726706693351123,307.15110134021717,2.0886278259681714,51
42,0.9895485879475205,307.66993266290245,9.462189117535663,5
43,3.974872136980209,307.15110134021717,1.2901559978483055,11
44,6.159661996886814,307.15110134021717,0.4395665263459708,9
45,2.040249054925506,307.66993266290245,6.677605446621476,15
47,17.38381142984212,307.15110134021717,0.5396206165821702,88
49,2.018012008005337,307.66993266290245,1.820154968163984,4
50,0.6504336224149433,307.66993266290245,0.0,0
51,5.192350455859462,307.66993266290245,4.330204641224454,63
52,5.698243273293307,307.15110134021717,0.4565663295657347,8
55,1.3453413386702247,307.66993266290245,1.023837169592241,1
56,3.758060929508561,307.66993266290245,0.13121039179300445,1
57,4.908828107627307,307.66993266290245,0.30760982904722267,4
59,1.6900155659328442,307.66993266290245,6.488054016620498,10
61,3.0965087836335337,307.66993266290245,2.8989618016496426,15
65,1.6177451634422948,307.66993266290245,10.62103659616679,15
66,1.5788303313319991,307.15110134021717,6.690636778416981,9
67,5.492550589281744,307.66993266290245,5.466857348915734,89
70,0.7282632866355349,307.15110134021717,0.0,0
71,2.240382477207027,307.66993266290245,0.0,0
72,8.577940849455192,307.15110134021717,2.5184293502023856,100
73,3.6579942183678007,307.66993266290245,4.708566994022598,34
74,0.8839226150767179,307.66993266290245,2.371741624144614,1
77,0.8783633533466756,307.66993266290245,4.803717352988303,2
78,2.4516344229486324,307.15110134021717,1.541538762141289,5
81,4.113853680231266,307.66993266290245,0.32848794740686627,3
82,1.9401823437847454,307.66993266290245,4.4305054966708,9
83,3.302201467645097,307.15110134021717,2.718996927751136,16
84,0.4280631532132533,307.15110134021717,0.0,0
85,5.514787636201913,307.15110134021717,0.792102952653486,13
86,1.134089392928619,307.66993266290245,0.0,0
87,2.4516344229486324,307.66993266290245,3.3913852767108357,11
89,6.571047364909941,307.66993266290245,5.107091424955837,119
90,0.5170113408939293,307.66993266290245,0.0,0
91,2.8519012675116744,307.15110134021717,0.911353540880575,4
95,3.06315321325328,307.15110134021717,1.3824723897483866,7
97,5.948410051145208,307.15110134021717,3.613625644161062,69
99,0.4503002001334223,307.66993266290245,0.0,0
101,2.6906826773404493,307.66993266290245,3.839389385970904,15
102,0.8839226150767179,307.66993266290245,9.486966496578455,4
103,3.2466088503446744,307.4105270638406,6.856469318821542,39
104,4.641983544585279,307.15110134021717,7.911821865251534,92
105,2.774071603291083,307.66993266290245,5.538451652804607,23
106,0.9172781854569714,307.66993266290245,2.2023875114784204,1
107,1.0340226817878586,307.15110134021717,0.0,0
109,0.2501667778519013,307.66993266290245,88.82962962962962,3
110,0.7115855014454081,307.66993266290245,0.0,0
113,0.7115855014454081,307.66993266290245,10.979003906249998,3
114,7.3715810540360245,307.15110134021717,0.6138285456890726,18
117,1.4120524794307316,307.66993266290245,8.364436728873457,9
118,2.062486101845675,307.66993266290245,0.0,0
119,3.891483211029575,307.15110134021717,1.713142857142857,14
120,0.3279964420724928,307.66993266290245,0.0,0
121,2.0291305314654213,307.66993266290245,4.950722462000376,11
122,3.002001334222815,307.66993266290245,0.0,0
123,0.4725372470535913,307.66993266290245,8.298961937716262,1
124,7.810762730709362,307.15110134021717,0.8504856828054356,28
126,1.4898821436513232,307.66993266290245,0.8348184450879927,1
128,3.997109183900378,307.15110134021717,0.3479566156828078,3
129,1.3453413386702247,307.66993266290245,11.262208865514651,11
130,0.5892817433844786,307.66993266290245,5.3364186543253815,1
132,0.17233711363130977,307.66993266290245,62.393340270551505,1
133,9.645319101623304,307.66993266290245,1.4142331553289207,71
136,0.4280631532132533,307.66993266290245,0.0,0
137,0.5225706026239716,307.66993266290245,0.0,0
138,0.43362241494329556,307.15110134021717,0.0,0
139,2.2237046920169004,307.66993266290245,6.7455,18
140,2.4516344229486324,307.15110134021717,6.166155048565156,20
141,4.9922170335779406,307.66993266290245,3.345965545805825,45
142,1.8734712030242384,307.66993266290245,0.5279609752661377,1
144,0.5837224816544363,307.66993266290245,0.0,0
